IDiskQuotaControl.GetDefaultQuotaThreshold,PLONGLONG
IDiskQuotaControl.SetDefaultQuotaLimit,LONGLONG
IFsrmFileManagementJobManager.GetFileManagementJob,BSTR,IFsrmFileManagementJob **
IFsrmReportJob.WaitForCompletion,long,VARIANT_BOOL *
IFsrmFileScreenTemplateManager.ImportTemplates,BSTR,VARIANT *,IFsrmCommittableCollection **
GetEnlistmentRecoveryInformation,HANDLE,ULONG,PVOID,PULONG
DeleteFile,LPCTSTR
DeleteFileA,LPCTSTR
DeleteFileW,LPCTSTR
IEnumDiskQuotaUsers.Reset
OpenEnlistment,DWORD,,LPGUID
SetNtmsUIOptions,HANDLE,const LPNTMS_GUID,DWORD,DWORD,LPTSTR
SetNtmsUIOptionsA,HANDLE,const LPNTMS_GUID,DWORD,DWORD,LPTSTR
SetNtmsUIOptionsW,HANDLE,const LPNTMS_GUID,DWORD,DWORD,LPTSTR
RollbackComplete,HANDLE,PLARGE_INTEGER
SwapNtmsMedia,HANDLE,LPNTMS_GUID,LPNTMS_GUID
CreateFile,LPCTSTR,DWORD,DWORD,LPSECURITY_ATTRIBUTES,DWORD,DWORD,HANDLE
CreateFileA,LPCTSTR,DWORD,DWORD,LPSECURITY_ATTRIBUTES,DWORD,DWORD,HANDLE
CreateFileW,LPCTSTR,DWORD,DWORD,LPSECURITY_ATTRIBUTES,DWORD,DWORD,HANDLE
Wow64RevertWow64FsRedirection,PVOID
NetFileGetInfo,LMSTR,DWORD,DWORD,LPBYTE *
LsnLess,const CLFS_LSN *,const CLFS_LSN *
PrepareEnlistment,HANDLE,PLARGE_INTEGER
LZInit,INT
TruncateLog,PVOID,PCLFS_LSN,LPOVERLAPPED
CreateHardLink,LPCTSTR,LPCTSTR,LPSECURITY_ATTRIBUTES
CreateHardLinkA,LPCTSTR,LPCTSTR,LPSECURITY_ATTRIBUTES
CreateHardLinkW,LPCTSTR,LPCTSTR,LPSECURITY_ATTRIBUTES
MoveFileEx,LPCTSTR,LPCTSTR,DWORD
MoveFileExA,LPCTSTR,LPCTSTR,DWORD
MoveFileExW,LPCTSTR,LPCTSTR,DWORD
IFsrmFileScreenTemplateImported.OverwriteOnCommit
IFsrmFileScreenTemplateImported.get_OverwriteOnCommit
IFsrmFileScreenTemplateImported.put_OverwriteOnCommit
AreFileApisANSI
IFsrmActionEmail.MailBcc
IFsrmActionEmail.get_MailBcc
IFsrmActionEmail.put_MailBcc
IFsrmActionEmail.MailBcc
IFsrmActionEmail.get_MailBcc
IFsrmActionEmail.put_MailBcc
EncryptFile,LPCTSTR
EncryptFileA,LPCTSTR
EncryptFileW,LPCTSTR
IFsrmQuota.ResetPeakUsage
SetFileApisToOEM
IFsrmFileGroupManager.ExportFileGroups,VARIANT *,BSTR *
NetDfsSetClientInfo,LPWSTR,LPWSTR,LPWSTR,DWORD,LPBYTE
GetLogFileInformation,HANDLE,PCLFS_INFORMATION,PULONG
RollbackTransactionAsync,HANDLE
GetShortPathName,LPCTSTR,LPTSTR,DWORD
GetShortPathNameA,LPCTSTR,LPTSTR,DWORD
GetShortPathNameW,LPCTSTR,LPTSTR,DWORD
IFsrmFileScreenManager.ActionVariableDescriptions,SAFEARRAY(VARIANT) *
IFsrmFileScreenManager.get_ActionVariableDescriptions,SAFEARRAY(VARIANT) *
IFsrmObject.Id,FSRM_OBJECT_ID *
IFsrmObject.get_Id,FSRM_OBJECT_ID *
IFsrmObject.Id,FSRM_OBJECT_ID *
IFsrmObject.get_Id,FSRM_OBJECT_ID *
SearchPath,LPCTSTR,LPCTSTR,LPCTSTR,DWORD,LPTSTR,LPTSTR *
SearchPathA,LPCTSTR,LPCTSTR,LPCTSTR,DWORD,LPTSTR,LPTSTR *
SearchPathW,LPCTSTR,LPCTSTR,LPCTSTR,DWORD,LPTSTR,LPTSTR *
SetEndOfLog,HANDLE,PCLFS_LSN,LPOVERLAPPED
IFsrmQuotaManager.CreateQuota,BSTR,IFsrmQuota **
IFindSimilarResults.GetNextFileId,DWORD *,SimilarityFileId *
IFsrmAction.Id,FSRM_OBJECT_ID *
IFsrmAction.get_Id,FSRM_OBJECT_ID *
IFsrmAction.Id,FSRM_OBJECT_ID *
IFsrmAction.get_Id,FSRM_OBJECT_ID *
FlushLogToLsn,PVOID,PCLFS_LSN,PCLFS_LSN,LPOVERLAPPED
